INFO 2024-08-24 17:18:57,157 - Initialization
INFO 2024-08-24 17:19:59,170 - Initialization
INFO 2024-08-24 17:19:59,171 - Run training
INFO 2024-08-24 17:19:59,178 - Training on custom dataset.
DEBUG 2024-08-24 17:19:59,178 - Datasetpath /home/simon/Environment/Software Projects/Autoencoders/Self Modelling Autoencoder/datasets/Custom/sequencestriple
INFO 2024-08-24 17:19:59,207 - Training with learning rate = 0.01
INFO 2024-08-24 17:19:59,208 - Current Epoch: 0
INFO 2024-08-24 17:20:00,662 - Current Epoch: 1
INFO 2024-08-24 17:20:01,936 - Current Epoch: 2
INFO 2024-08-24 17:20:03,265 - Current Epoch: 3
INFO 2024-08-24 17:20:04,543 - Current Epoch: 4
INFO 2024-08-24 17:20:06,051 - Current Epoch: 5
INFO 2024-08-24 17:20:07,580 - Current Epoch: 6
INFO 2024-08-24 17:20:09,086 - Current Epoch: 7
INFO 2024-08-24 17:20:10,711 - Current Epoch: 8
INFO 2024-08-24 17:20:12,349 - Current Epoch: 9
INFO 2024-08-24 17:21:14,287 - Initialization
INFO 2024-08-24 17:21:14,288 - Run training
INFO 2024-08-24 17:21:14,295 - Training on custom dataset.
DEBUG 2024-08-24 17:21:14,295 - Datasetpath /home/simon/Environment/Software Projects/Autoencoders/Self Modelling Autoencoder/datasets/Custom/sequencestriple
INFO 2024-08-24 17:21:14,321 - Training with learning rate = 0.01
INFO 2024-08-24 17:21:14,322 - Current Epoch: 0
INFO 2024-08-24 17:21:15,743 - Current Epoch: 1
INFO 2024-08-24 17:21:17,099 - Current Epoch: 2
INFO 2024-08-24 17:21:18,407 - Current Epoch: 3
INFO 2024-08-24 17:21:19,680 - Current Epoch: 4
INFO 2024-08-24 17:21:21,199 - Current Epoch: 5
INFO 2024-08-24 17:21:22,725 - Current Epoch: 6
INFO 2024-08-24 17:21:24,213 - Current Epoch: 7
INFO 2024-08-24 17:21:25,758 - Current Epoch: 8
INFO 2024-08-24 17:21:27,695 - Current Epoch: 9
INFO 2024-08-24 17:24:14,542 - Initialization
INFO 2024-08-24 17:24:14,543 - Run training
INFO 2024-08-24 17:24:14,550 - Training on custom dataset.
INFO 2024-08-24 17:25:21,445 - Initialization
INFO 2024-08-24 17:25:21,446 - Run training
INFO 2024-08-24 17:25:21,453 - Training on custom dataset.
DEBUG 2024-08-24 17:25:21,453 - Datasetpath /home/simon/Environment/Software Projects/Autoencoders/Self Modelling Autoencoder/datasets/Custom/sequencestriple
INFO 2024-08-24 17:25:21,484 - Training with learning rate: 0.01 
INFO 2024-08-24 17:25:21,484 - Current Epoch: 0
INFO 2024-08-24 17:25:22,911 - Current Epoch: 1
INFO 2024-08-24 17:25:24,220 - Current Epoch: 2
INFO 2024-08-24 17:25:25,462 - Current Epoch: 3
INFO 2024-08-24 17:25:26,676 - Current Epoch: 4
INFO 2024-08-24 17:25:28,185 - Current Epoch: 5
INFO 2024-08-24 17:25:29,550 - Current Epoch: 6
INFO 2024-08-24 17:25:30,899 - Current Epoch: 7
INFO 2024-08-24 17:25:32,344 - Current Epoch: 8
INFO 2024-08-24 17:25:33,785 - Current Epoch: 9
